"prov","ym","N","rate","treated","cap_2019","cap_2023","cap_change_ratio"
24,"2022-10",875,0.861714285714286,1,213119,211192,-0.00904189678067183
24,"2022-11",860,0.856976744186047,1,213119,211192,-0.00904189678067183
24,"2022-12",860,0.86046511627907,1,213119,211192,-0.00904189678067183
24,"2023-01",860,0.856976744186047,1,213119,211192,-0.00904189678067183
24,"2023-02",846,0.849881796690307,1,213119,211192,-0.00904189678067183
24,"2023-03",820,0.852439024390244,1,213119,211192,-0.00904189678067183
24,"2023-04",771,0.859922178988327,1,213119,211192,-0.00904189678067183
24,"2023-05",741,0.870445344129555,1,213119,211192,-0.00904189678067183
24,"2023-06",725,0.873103448275862,1,213119,211192,-0.00904189678067183
24,"2023-07",741,0.871794871794872,1,213119,211192,-0.00904189678067183
24,"2023-08",795,0.880503144654088,1,213119,211192,-0.00904189678067183
24,"2023-09",862,0.882830626450116,1,213119,211192,-0.00904189678067183
24,"2023-10",862,0.878190255220418,1,213119,211192,-0.00904189678067183
24,"2023-11",888,0.873873873873874,1,213119,211192,-0.00904189678067183
24,"2023-12",934,0.865096359743041,1,213119,211192,-0.00904189678067183
24,"2024-01",953,0.855194123819517,1,213119,211192,-0.00904189678067183
24,"2024-02",964,0.850622406639004,1,213119,211192,-0.00904189678067183
24,"2024-03",985,0.845685279187817,1,213119,211192,-0.00904189678067183
24,"2024-04",961,0.857440166493236,1,213119,211192,-0.00904189678067183
24,"2024-05",957,0.858934169278997,1,213119,211192,-0.00904189678067183
24,"2024-06",932,0.879828326180257,1,213119,211192,-0.00904189678067183
24,"2024-07",925,0.842162162162162,1,213119,211192,-0.00904189678067183
24,"2024-08",933,0.864951768488746,1,213119,211192,-0.00904189678067183
24,"2024-09",914,0.87308533916849,1,213119,211192,-0.00904189678067183
24,"2024-10",901,0.870144284128746,1,213119,211192,-0.00904189678067183
24,"2024-11",931,0.875402792696026,1,213119,211192,-0.00904189678067183
24,"2024-12",928,0.88146551724138,1,213119,211192,-0.00904189678067183
24,"2025-01",1806,0.884828349944629,1,213119,211192,-0.00904189678067183
24,"2025-03",935,0.877005347593583,1,213119,211192,-0.00904189678067183
24,"2025-04",936,0.871794871794871,1,213119,211192,-0.00904189678067183
24,"2025-05",894,0.863534675615212,1,213119,211192,-0.00904189678067183
24,"2025-06",892,0.871076233183856,1,213119,211192,-0.00904189678067183
24,"2025-07",886,0.860045146726862,1,213119,211192,-0.00904189678067183
35,"2019-01",1234,0.752025931928687,1,172951,176814,0.0223358060953681
35,"2019-02",1257,0.776451869530628,1,172951,176814,0.0223358060953681
35,"2019-03",1267,0.769534333070245,1,172951,176814,0.0223358060953681
